Starting client at 10.0.0.19:1238 with timeout:10
My IP address is 10.0.0.19Skipped Seq from 7 to 14
Skipped Seq from 14 to 20
Skipped Seq from 20 to 25
Skipped Seq from 25 to 28
Recovered out of order packet from 28 to 11
Recovered out of order packet from 28 to 12
Skipped Seq from 28 to 30
Skipped Seq from 30 to 36
Skipped Seq from 36 to 39
Skipped Seq from 39 to 44
Skipped Seq from 44 to 47
Skipped Seq from 47 to 50
Skipped Seq from 50 to 55
Skipped Seq from 55 to 62
Skipped Seq from 62 to 66
Skipped Seq from 66 to 68
Skipped Seq from 69 to 74
Skipped Seq from 75 to 78
Skipped Seq from 78 to 82
Skipped Seq from 82 to 86
Skipped Seq from 87 to 90
Skipped Seq from 91 to 97
Skipped Seq from 100 to 102
Skipped Seq from 102 to 110
Skipped Seq from 110 to 118
Skipped Seq from 120 to 122
Skipped Seq from 122 to 125
Skipped Seq from 125 to 127
Skipped Seq from 131 to 133
Skipped Seq from 134 to 136
Skipped Seq from 144 to 148
Skipped Seq from 150 to 154
Skipped Seq from 156 to 163
Skipped Seq from 163 to 166
Skipped Seq from 167 to 170
Skipped Seq from 174 to 176
Skipped Seq from 176 to 181
Skipped Seq from 182 to 187
Skipped Seq from 187 to 191
Skipped Seq from 191 to 194
Skipped Seq from 194 to 197
Skipped Seq from 199 to 201
Skipped Seq from 201 to 204
Skipped Seq from 204 to 208
Skipped Seq from 210 to 213
Skipped Seq from 213 to 217
Skipped Seq from 217 to 220
Skipped Seq from 226 to 228
Skipped Seq from 228 to 235
Skipped Seq from 236 to 239
Skipped Seq from 241 to 245
Skipped Seq from 245 to 248
Skipped Seq from 251 to 257
Skipped Seq from 259 to 262
Skipped Seq from 270 to 273
Skipped Seq from 274 to 277
Skipped Seq from 277 to 280
Skipped Seq from 280 to 283
Skipped Seq from 283 to 285
Skipped Seq from 285 to 289
Skipped Seq from 290 to 292
Skipped Seq from 295 to 300
Skipped Seq from 300 to 302
Skipped Seq from 302 to 309
Skipped Seq from 309 to 313
Skipped Seq from 318 to 321
Skipped Seq from 322 to 327
Skipped Seq from 328 to 334
Skipped Seq from 335 to 337
Skipped Seq from 339 to 344
Skipped Seq from 344 to 348
Skipped Seq from 348 to 350
Skipped Seq from 352 to 354
Skipped Seq from 354 to 361
Skipped Seq from 362 to 365
Skipped Seq from 366 to 368
Skipped Seq from 368 to 371
Skipped Seq from 372 to 376
Skipped Seq from 377 to 383
Skipped Seq from 387 to 389
Skipped Seq from 390 to 394
Skipped Seq from 394 to 397
Skipped Seq from 397 to 399
Skipped Seq from 400 to 403
Skipped Seq from 404 to 410
Skipped Seq from 414 to 416
Skipped Seq from 416 to 418
Skipped Seq from 419 to 421
Skipped Seq from 421 to 425
Skipped Seq from 425 to 429
Skipped Seq from 429 to 433
Skipped Seq from 433 to 436
Skipped Seq from 439 to 443
Skipped Seq from 445 to 450
Skipped Seq from 450 to 458
Skipped Seq from 458 to 467
Skipped Seq from 467 to 469
Skipped Seq from 472 to 475
Skipped Seq from 475 to 477
Skipped Seq from 478 to 485
Skipped Seq from 485 to 487
Skipped Seq from 487 to 489
Skipped Seq from 490 to 493
Skipped Seq from 493 to 500
Skipped Seq from 501 to 508
Skipped Seq from 508 to 512
Skipped Seq from 512 to 514
Skipped Seq from 516 to 520
Skipped Seq from 524 to 528
Skipped Seq from 528 to 530
Skipped Seq from 530 to 533
Skipped Seq from 533 to 535
Skipped Seq from 542 to 544
Skipped Seq from 545 to 547
Skipped Seq from 547 to 550
Skipped Seq from 559 to 561
Skipped Seq from 561 to 563
Skipped Seq from 563 to 569
Skipped Seq from 569 to 571
Skipped Seq from 572 to 574
Skipped Seq from 575 to 577
Skipped Seq from 577 to 579
Skipped Seq from 579 to 581
Skipped Seq from 581 to 584
Skipped Seq from 584 to 586
Skipped Seq from 586 to 588
Skipped Seq from 588 to 590
Skipped Seq from 594 to 598
Skipped Seq from 599 to 602
Skipped Seq from 602 to 608
Skipped Seq from 611 to 615
Skipped Seq from 615 to 621
Skipped Seq from 621 to 623
Skipped Seq from 631 to 633
Skipped Seq from 637 to 640
Skipped Seq from 640 to 643
Skipped Seq from 643 to 646
Skipped Seq from 646 to 654
Skipped Seq from 655 to 661
Skipped Seq from 661 to 663
Skipped Seq from 663 to 667
Skipped Seq from 667 to 672
Skipped Seq from 672 to 678
Skipped Seq from 679 to 681
Skipped Seq from 681 to 683
Skipped Seq from 686 to 688
Skipped Seq from 689 to 691
Skipped Seq from 696 to 698
Skipped Seq from 698 to 701
Skipped Seq from 702 to 704
Skipped Seq from 704 to 706
Skipped Seq from 709 to 712
Skipped Seq from 712 to 714
Skipped Seq from 715 to 719
Skipped Seq from 725 to 728
Skipped Seq from 728 to 730
Skipped Seq from 734 to 739
Skipped Seq from 739 to 742
Skipped Seq from 743 to 745
Skipped Seq from 745 to 747
Skipped Seq from 749 to 751
Skipped Seq from 754 to 762
Skipped Seq from 763 to 765
Skipped Seq from 765 to 768
Skipped Seq from 768 to 770
Skipped Seq from 771 to 773
Skipped Seq from 773 to 775
Skipped Seq from 777 to 779
Skipped Seq from 779 to 782
Skipped Seq from 782 to 786
Skipped Seq from 786 to 788
Skipped Seq from 789 to 794
Skipped Seq from 796 to 798
Skipped Seq from 798 to 801
Skipped Seq from 801 to 805
Skipped Seq from 805 to 807
Skipped Seq from 812 to 815
Skipped Seq from 816 to 818
Skipped Seq from 818 to 824
Skipped Seq from 824 to 828
Skipped Seq from 831 to 833
Skipped Seq from 833 to 836
Skipped Seq from 836 to 838
Skipped Seq from 839 to 842
Skipped Seq from 846 to 851
Skipped Seq from 851 to 853
Skipped Seq from 853 to 859
Skipped Seq from 860 to 863
Skipped Seq from 865 to 875
Skipped Seq from 875 to 879
Skipped Seq from 879 to 882
Skipped Seq from 885 to 887
Skipped Seq from 889 to 892
Skipped Seq from 892 to 895
Skipped Seq from 897 to 899
Skipped Seq from 900 to 902
Skipped Seq from 902 to 904
Skipped Seq from 904 to 906
Skipped Seq from 907 to 909
Skipped Seq from 912 to 914
Skipped Seq from 914 to 922
Skipped Seq from 922 to 924
Skipped Seq from 924 to 932
Skipped Seq from 932 to 950
Skipped Seq from 951 to 958
Skipped Seq from 958 to 960
Skipped Seq from 961 to 963
Skipped Seq from 974 to 978
Skipped Seq from 978 to 981
Skipped Seq from 981 to 987
Skipped Seq from 987 to 995
Skipped Seq from 997 to 999
Skipped Seq from 999 to 1002
Skipped Seq from 1002 to 1005
Skipped Seq from 1005 to 1008
Skipped Seq from 1008 to 1011
Skipped Seq from 1013 to 1015
Skipped Seq from 1018 to 1027
Skipped Seq from 1028 to 1039
Skipped Seq from 1039 to 1041
Skipped Seq from 1041 to 1043
Skipped Seq from 1047 to 1051
Skipped Seq from 1051 to 1053
Skipped Seq from 1053 to 1058
Skipped Seq from 1058 to 1062
Skipped Seq from 1062 to 1065
Skipped Seq from 1065 to 1071
Skipped Seq from 1072 to 1074
Skipped Seq from 1075 to 1077
Skipped Seq from 1080 to 1083
Skipped Seq from 1085 to 1091
Skipped Seq from 1091 to 1093
Skipped Seq from 1097 to 1100
Skipped Seq from 1100 to 1103
Skipped Seq from 1103 to 1110
Skipped Seq from 1110 to 1113
Skipped Seq from 1113 to 1115
Skipped Seq from 1115 to 1117
Skipped Seq from 1117 to 1119
Skipped Seq from 1123 to 1125
Skipped Seq from 1125 to 1130
Skipped Seq from 1131 to 1133
